datetime;count
2014-09-24T00:00:00.000+0300;43
2014-09-25T00:00:00.000+0300;22
2014-09-26T00:00:00.000+0300;219
2014-09-27T00:00:00.000+0300;7
2014-09-28T00:00:00.000+0300;1
2014-09-29T00:00:00.000+0300;22
2014-09-30T00:00:00.000+0300;204
2014-10-01T00:00:00.000+0300;66
2014-10-02T00:00:00.000+0300;49
2014-10-03T00:00:00.000+0300;27
2014-10-04T00:00:00.000+0300;34
2014-10-05T00:00:00.000+0300;7
2014-10-06T00:00:00.000+0300;90
2014-10-07T00:00:00.000+0300;97
2014-10-08T00:00:00.000+0300;125
2014-10-09T00:00:00.000+0300;52
2014-10-10T00:00:00.000+0300;80
2014-10-11T00:00:00.000+0300;0
2014-10-12T00:00:00.000+0300;8
2014-10-13T00:00:00.000+0300;58
2014-10-14T00:00:00.000+0300;67
2014-10-15T00:00:00.000+0300;123
2014-10-16T00:00:00.000+0300;190
2014-10-17T00:00:00.000+0300;98
2014-10-18T00:00:00.000+0300;12
2014-10-19T00:00:00.000+0300;3
2014-10-20T00:00:00.000+0300;64
2014-10-21T00:00:00.000+0300;54
2014-10-22T00:00:00.000+0300;78
2014-10-23T00:00:00.000+0300;121
2014-10-24T00:00:00.000+0300;132
2014-10-25T00:00:00.000+0300;10
2014-10-26T00:00:00.000+0300;43
2014-10-27T00:00:00.000+0200;81
2014-10-28T00:00:00.000+0200;192
2014-10-29T00:00:00.000+0200;111
2014-10-30T00:00:00.000+0200;187
2014-10-31T00:00:00.000+0200;50
2014-11-01T00:00:00.000+0200;0
2014-11-02T00:00:00.000+0200;82
2014-11-03T00:00:00.000+0200;107
2014-11-04T00:00:00.000+0200;107
2014-11-05T00:00:00.000+0200;98
2014-11-06T00:00:00.000+0200;138
2014-11-07T00:00:00.000+0200;133
2014-11-08T00:00:00.000+0200;87
2014-11-09T00:00:00.000+0200;24
2014-11-10T00:00:00.000+0200;290
2014-11-11T00:00:00.000+0200;269
2014-11-12T00:00:00.000+0200;495
2014-11-13T00:00:00.000+0200;1248
2014-11-14T00:00:00.000+0200;1146
2014-11-15T00:00:00.000+0200;7
2014-11-16T00:00:00.000+0200;753
2014-11-17T00:00:00.000+0200;893
2014-11-18T00:00:00.000+0200;132
2014-11-19T00:00:00.000+0200;81
2014-11-20T00:00:00.000+0200;85
2014-11-21T00:00:00.000+0200;38
2014-11-22T00:00:00.000+0200;0
2014-11-23T00:00:00.000+0200;6
2014-11-24T00:00:00.000+0200;64
2014-11-25T00:00:00.000+0200;102
2014-11-26T00:00:00.000+0200;122
2014-11-27T00:00:00.000+0200;130
2014-11-28T00:00:00.000+0200;689
2014-11-29T00:00:00.000+0200;49
2014-11-30T00:00:00.000+0200;129
2014-12-01T00:00:00.000+0200;99
2014-12-02T00:00:00.000+0200;89
2014-12-03T00:00:00.000+0200;92
2014-12-04T00:00:00.000+0200;869
2014-12-05T00:00:00.000+0200;150
2014-12-06T00:00:00.000+0200;24
2014-12-07T00:00:00.000+0200;12
2014-12-08T00:00:00.000+0200;311
2014-12-09T00:00:00.000+0200;151
2014-12-10T00:00:00.000+0200;123
2014-12-11T00:00:00.000+0200;52
2014-12-12T00:00:00.000+0200;67
2014-12-13T00:00:00.000+0200;12
2014-12-14T00:00:00.000+0200;8
2014-12-15T00:00:00.000+0200;155
2014-12-16T00:00:00.000+0200;126
2014-12-17T00:00:00.000+0200;130
2014-12-18T00:00:00.000+0200;186
2014-12-19T00:00:00.000+0200;115
2014-12-20T00:00:00.000+0200;0
2014-12-21T00:00:00.000+0200;19
2014-12-22T00:00:00.000+0200;109
2014-12-23T00:00:00.000+0200;1015
2014-12-24T00:00:00.000+0200;1
2014-12-25T00:00:00.000+0200;1
2014-12-26T00:00:00.000+0200;4
2014-12-27T00:00:00.000+0200;6
2014-12-28T00:00:00.000+0200;25
2014-12-29T00:00:00.000+0200;22
2014-12-30T00:00:00.000+0200;48
2014-12-31T00:00:00.000+0200;23
2015-01-01T00:00:00.000+0200;22
2015-01-02T00:00:00.000+0200;64
2015-01-03T00:00:00.000+0200;3
2015-01-04T00:00:00.000+0200;13
2015-01-05T00:00:00.000+0200;36
2015-01-06T00:00:00.000+0200;77
2015-01-07T00:00:00.000+0200;156
2015-01-08T00:00:00.000+0200;199
2015-01-09T00:00:00.000+0200;166
2015-01-10T00:00:00.000+0200;8
2015-01-11T00:00:00.000+0200;5
2015-01-12T00:00:00.000+0200;152
2015-01-13T00:00:00.000+0200;99
2015-01-14T00:00:00.000+0200;204
2015-01-15T00:00:00.000+0200;92
2015-01-16T00:00:00.000+0200;129
2015-01-17T00:00:00.000+0200;3
2015-01-18T00:00:00.000+0200;6
2015-01-19T00:00:00.000+0200;124
2015-01-20T00:00:00.000+0200;129
2015-01-21T00:00:00.000+0200;54
2015-01-22T00:00:00.000+0200;74
2015-01-23T00:00:00.000+0200;91
2015-01-24T00:00:00.000+0200;14
2015-01-25T00:00:00.000+0200;27
2015-01-26T00:00:00.000+0200;1003
2015-01-27T00:00:00.000+0200;158
2015-01-28T00:00:00.000+0200;173
2015-01-29T00:00:00.000+0200;1116
2015-01-30T00:00:00.000+0200;282
2015-01-31T00:00:00.000+0200;179
2015-02-01T00:00:00.000+0200;13
